"RETAILER_CONTACT_CODE";"RETAILER_SITE_CODE";"FIRST_NAME";"LAST_NAME";"FIRST_NAME_MB";"LAST_NAME_MB";"GENDER_CODE";"JOB_POSITION_EN";"JOB_POSITION_FR";"JOB_POSITION_DE";"JOB_POSITION_NL";"JOB_POSITION_JA";"JOB_POSITION_CS";"JOB_POSITION_HU";"JOB_POSITION_KO";"JOB_POSITION_PT";"JOB_POSITION_SC";"JOB_POSITION_TC";"JOB_POSITION_DA";"JOB_POSITION_EL";"JOB_POSITION_FI";"JOB_POSITION_IT";"JOB_POSITION_NO";"JOB_POSITION_PL";"JOB_POSITION_RU";"JOB_POSITION_SV";"JOB_POSITION_ES";"JOB_POSITION_TH";"JOB_POSITION_MS";"JOB_POSITION_ID";"PHONE_NUMBER";"EXTENSION";"FAX";"EMAIL"
"3016";"20003";"Yves";"Fortin";"Yves";"Fortin";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (506) 454-1937";NULL;"1 (506) 446-2897";"YFortin@rocksteadyitl.com"
"3017";"20020";"Walter";"Reilly";"Walter";"Reilly";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"1 (902) 421-2065";"2148";"1 (902) 427-6942";"WReilly@f76.net"
"3022";"20011";"Richard";"Seitak";"Richard";"Seitak";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"1 (604) 685-1544";"3425";"1 (604) 682-3059";"RSeitak@vipce2k.com"
"3023";"20007";"Tom";"Mackley";"Tom";"Mackley";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (306) 239-1090";"1254";"1 (306) 242-9766";"TMackley@cybserv19.com"
"3030";"20001";"Trudy";"Gates";"Trudy";"Gates";"1";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (204) 891-3428";NULL;"1 (204) 891-4971";"TGates@rocksteadyitl.com"
"3031";"20028";"Harmon";"Pederson";"Harmon";"Pederson";"0";"District Manager";"Directeur de district";"Bezirksleiter";"Districtmanager";"?????";"Oblastní ?editel";"Körzeti menedzser";"?? ???";"Gerente de área";"????";"????";"Områdechef";"????????????? ??????????";"Aluepäällikkö";"Responsabile di zona";"Distriktssjef";"Dyrektor okr?;wy";"???????? pa?o?a";"Distriktschef";"Director de distrito";"????????????";"Pengurus Daerah";"Manajer Distrik";"1 (204) 892-3889";"157";"1 (204) 887-7620";"HPederson@actup9.com"
"3032";"20021";"David";"Henschel";"David";"Henschel";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (250) 785-9850";"654";"1 (250) 779-6930";"DHenschel@f76.net"
"3033";"20052";"Brigitta";"Kunstl";"Brigitta";"Kunstl";"1";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 221 423 900";NULL;"+(49) 221 423 980";"BKunstl@extrem1.com"
"3034";"20050";"Britta";"Selemann";"Britta";"Selemann";"1";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"+(49) 69 553 1247";"087";"+(49) 69 553 1292";"BSelemann@dz7.com"
"3035";"20045";"Christine";"Schmidt";"Christine";"Schmidt";"1";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 69 332 4560";NULL;"+(49) 69 332 1440";"CSchmidt@holsteing.com"
"3036";"20034";"Franz";"Hillemann";"Franz";"Hillemann";"0";"District Manager";"Directeur de district";"Bezirksleiter";"Districtmanager";"?????";"Oblastní ?editel";"Körzeti menedzser";"?? ???";"Gerente de área";"????";"????";"Områdechef";"????????????? ??????????";"Aluepäällikkö";"Responsabile di zona";"Distriktssjef";"Dyrektor okr?;wy";"???????? pa?o?a";"Distriktschef";"Director de distrito";"????????????";"Pengurus Daerah";"Manajer Distrik";"+(49) 221 663 431";NULL;"+(49) 221 773 431";"FHillemann@dfd18.com"
"3037";"20044";"Friedrich";"Wallner";"Friedrich";"Wallner";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 69 102 7657";"538";"+(49) 69 102 7656";"FWallner@holsteing.com"
"3038";"20059";"Gabriele";"Artner";"Gabriele";"Artner";"1";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+(49) 361 791 561";NULL;"+(49) 361 791 574";"GArtner@b17xo2.com"
"3039";"20037";"Gerd";"Bogener";"Gerd";"Bogener";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+(49) 351 616 132";NULL;"+(49) 351 525 218";"GBogener@fztxinc.com"
"3040";"20047";"Gerhard";"Steiner";"Gerhard";"Steiner";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+(49) 30 883 7880";"024";"+(49) 30 883 2134";"GSteiner@dz7.com"
"3041";"20051";"Günther";"Hessel";"Günther";"Hessel";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 331 784 229";NULL;"+(49) 331 784 300";"GHessel@dz7.com"
"3042";"20033";"Hans";"Albrecht";"Hans";"Albrecht";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+(49) 30 882 1345";"1548";"+(49) 30 229 1345";"HAlbrecht@dfd18.com"
"3043";"20038";"Heinrich";"Sandemann";"Heinrich";"Sandemann";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 211 309 903";NULL;"+(49) 211 608 903";"HSandemann@fztxinc.com"
"3044";"20039";"Herbert";"Stillner";"Herbert";"Stillner";"0";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"+(49) 69 445 0917";"6497";"+(49) 69 233 0762";"HStillner@fztxinc.com"
"3045";"20043";"Harald";"Klein";"Harald";"Klein";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+(49) 613 135 059";NULL;"+(49) 613 135 060";"HKlein@holsteing.com"
"3046";"20054";"Helga";"Freibauer";"Helga";"Freibauer";"1";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+(49) 69 881 2230";NULL;"+(49) 69 881 4466";"HFreibauer@extrem1.com"
"3047";"20058";"Helge";"Dielmann";"Helge";"Dielmann";"1";"District Manager";"Directeur de district";"Bezirksleiter";"Districtmanager";"?????";"Oblastní ?editel";"Körzeti menedzser";"?? ???";"Gerente de área";"????";"????";"Områdechef";"????????????? ??????????";"Aluepäällikkö";"Responsabile di zona";"Distriktssjef";"Dyrektor okr?;wy";"???????? pa?o?a";"Distriktschef";"Director de distrito";"????????????";"Pengurus Daerah";"Manajer Distrik";"+(49) 761 814 400";NULL;"+(49) 761 814 410";"HDielmann@b17xo2.com"
"3048";"20057";"Helmut";"Scharf";"Helmut";"Scharf";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+(49) 681 972 175";NULL;"+(49) 681 972 176";"HScharf@b17xo2.com"
"3049";"20035";"Helmuth";"Schmitt";"Helmuth";"Schmitt";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+(49) 40 456 7890";NULL;"+(49) 40 456 1234";"HSchmitt@dfd18.com"
"3050";"20049";"Hermann";"Diemer";"Hermann";"Diemer";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+(49) 385 724 933";NULL;"+(49) 385 661 254";"HDiemer@dz7.com"
"3051";"20062";"Hilde";"Kunz";"Hilde";"Kunz";"1";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+(49) 89 234 7654";"654";"+(49) 89 234 8822";"HKunz@weitblickitl.com"
"3052";"20036";"Ingrid";"Stadler";"Ingrid";"Stadler";"1";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+(49) 30 621 6454";"6492";"+(49) 30 694 0112";"IStadler@fztxinc.com"
"3053";"20055";"Jan";"Gutmann";"Jan";"Gutmann";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+(49) 40 332 6771";NULL;"+(49) 40 332 6777";"JGutmann@extrem1.com"
"3054";"20041";"Jens";"Helsen";"Jens";"Helsen";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 778 224 161";NULL;"+(49) 778 224 646";"JHelsen@fztxinc.com"
"3055";"20060";"Jochen";"Mostel";"Jochen";"Mostel";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 40 666 6802";NULL;"+(49) 40 666 1061";"JMostel@rutkss.com"
"3056";"20032";"Jochen";"Tausig";"Jochen";"Tausig";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+(49) 69 702 1009";NULL;"+(49) 69 702 1090";"JTausig@fitexes.com"
"3057";"20048";"Johann";"Stauber";"Johann";"Stauber";"0";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"+(49) 431 185 242";NULL;"+(49) 431 185 541";"JStauber@dz7.com"
"3058";"20061";"Karin";"Engele";"Karin";"Engele";"1";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+(49) 421 623 154";"249";"+(49) 421 325 177";"KEngele@weitblickitl.com"
"3059";"20063";"Katrin";"Liebnitz";"Katrin";"Liebnitz";"1";"District Manager";"Directeur de district";"Bezirksleiter";"Districtmanager";"?????";"Oblastní ?editel";"Körzeti menedzser";"?? ???";"Gerente de área";"????";"????";"Områdechef";"????????????? ??????????";"Aluepäällikkö";"Responsabile di zona";"Distriktssjef";"Dyrektor okr?;wy";"???????? pa?o?a";"Distriktschef";"Director de distrito";"????????????";"Pengurus Daerah";"Manajer Distrik";"+(49) 391 364 537";"673";"+(49) 391 364 508";"KLiebnitz@dfd18.com"
